Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
ENST00000578709,Extracellular,Signal peptide,Soluble,0.36489999294281006,0.1923999935388565,0.8454999923706055,0.35269999504089355,0.19259999692440033,0.008299999870359898,0.09650000184774399,0.13030000030994415,0.20669999718666077,0.11760000139474869,0.5156000256538391,0.2069000005722046,0.5831000208854675,0.7124000191688538
ENST00000584601,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.2587999999523163,0.10769999772310257,0.15600000321865082,0.9053999781608582,0.08799999952316284,0.020099999383091927,0.24079999327659607,0.6093000173568726,0.4442000091075897,0.20999999344348907,0.27070000767707825,0.916100025177002,0.2913999855518341,0.19329999387264252
ENST00000582818,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.1868000030517578,0.10620000213384628,0.13109999895095825,0.9228000044822693,0.05350000038743019,0.02280000038444996,0.15800000727176666,0.6534000039100647,0.4108999967575073,0.15199999511241913,0.08049999922513962,0.9839000105857849,0.5235999822616577,0.1103999987244606
ENST00000584450,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.23749999701976776,0.09749999642372131,0.18050000071525574,0.8833000063896179,0.07829999923706055,0.011300000362098217,0.26980000734329224,0.592199981212616,0.4431000053882599,0.12680000066757202,0.2451999932527542,0.9244999885559082,0.313400000333786,0.18479999899864197
ENST00000584014,Extracellular,,Peripheral|Soluble,0.274399995803833,0.2556999921798706,0.5982000231742859,0.36059999465942383,0.19699999690055847,0.005799999926239252,0.16820000112056732,0.23260000348091125,0.219200000166893,0.08760000020265579,0.6510999798774719,0.12950000166893005,0.17329999804496765,0.7764000296592712
ENST00000580074,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.2224999964237213,0.07609999924898148,0.1014999970793724,0.9010999798774719,0.06509999930858612,0.031199999153614044,0.24619999527931213,0.6471999883651733,0.41760000586509705,0.18050000071525574,0.13809999823570251,0.9635999798774719,0.4555000066757202,0.13989999890327454
ENST00000445658,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.23909999430179596,0.1006999984383583,0.15680000185966492,0.8968999981880188,0.09759999811649323,0.013299999758601189,0.22139999270439148,0.6230000257492065,0.44909998774528503,0.16269999742507935,0.2513999938964844,0.9273999929428101,0.3402999937534332,0.18140000104904175
ENST00000578502,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.24089999496936798,0.10189999639987946,0.22360000014305115,0.8828999996185303,0.08160000294446945,0.012900000438094139,0.26350000500679016,0.5544999837875366,0.42250001430511475,0.12970000505447388,0.274399995803833,0.8949000239372253,0.28619998693466187,0.22059999406337738
ENST00000269571,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.23970000445842743,0.10459999740123749,0.1979999989271164,0.8833000063896179,0.08540000021457672,0.012400000356137753,0.2662999927997589,0.6022999882698059,0.4512999951839447,0.1339000016450882,0.2752000093460083,0.9121000170707703,0.3052000105381012,0.19660000503063202
ENST00000578199,Extracellular,,Peripheral|Soluble,0.274399995803833,0.2556999921798706,0.5982000231742859,0.36059999465942383,0.19699999690055847,0.005799999926239252,0.16820000112056732,0.23260000348091125,0.219200000166893,0.08760000020265579,0.6510999798774719,0.12950000166893005,0.17329999804496765,0.7764000296592712
ENST00000863098,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.2354000061750412,0.10849999636411667,0.20260000228881836,0.8783000111579895,0.07829999923706055,0.014399999752640724,0.2460000067949295,0.5835999846458435,0.42890000343322754,0.1273999959230423,0.2628999948501587,0.9168999791145325,0.33239999413490295,0.18690000474452972
ENST00000863102,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.22910000383853912,0.10599999874830246,0.18569999933242798,0.8702999949455261,0.08320000022649765,0.014499999582767487,0.2567000091075897,0.6262000203132629,0.4519999921321869,0.11630000174045563,0.47940000891685486,0.7297999858856201,0.25870001316070557,0.31709998846054077
ENST00000863097,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.23880000412464142,0.10369999706745148,0.19429999589920044,0.8847000002861023,0.08550000190734863,0.012500000186264515,0.2702000141143799,0.6032999753952026,0.45089998841285706,0.13040000200271606,0.2782000005245209,0.9136000275611877,0.3003000020980835,0.19439999759197235
ENST00000863101,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.22059999406337738,0.10809999704360962,0.2125999927520752,0.8798999786376953,0.07509999722242355,0.012500000186264515,0.2476000040769577,0.5787000060081482,0.40380001068115234,0.12389999628067017,0.29809999465942383,0.9154000282287598,0.3050000071525574,0.19179999828338623
ENST00000863100,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.23909999430179596,0.10289999842643738,0.1868000030517578,0.8863000273704529,0.08780000358819962,0.011900000274181366,0.2644999921321869,0.6136999726295471,0.4555000066757202,0.1363999992609024,0.27300000190734863,0.9199000000953674,0.32100000977516174,0.18230000138282776
ENST00000863099,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.2257000058889389,0.10450000315904617,0.19740000367164612,0.8891000151634216,0.08659999817609787,0.01209999993443489,0.26350000500679016,0.6000000238418579,0.453900009393692,0.14309999346733093,0.28130000829696655,0.9133999943733215,0.30709999799728394,0.19210000336170197
ENST00000863095,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.24130000174045563,0.09910000115633011,0.18230000138282776,0.8881000280380249,0.08760000020265579,0.011800000444054604,0.2603999972343445,0.6075999736785889,0.4480000138282776,0.13860000669956207,0.2727000117301941,0.9189000129699707,0.32679998874664307,0.18799999356269836
ENST00000863096,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.24009999632835388,0.1054999977350235,0.19589999318122864,0.8827000260353088,0.08560000360012054,0.01269999984651804,0.26739999651908875,0.6035000085830688,0.4514000117778778,0.13369999825954437,0.27720001339912415,0.9124000072479248,0.3046000003814697,0.19629999995231628
ENST00000863103,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.24240000545978546,0.10360000282526016,0.19760000705718994,0.8845000267028809,0.08399999886751175,0.012199999764561653,0.2671999931335449,0.5961999893188477,0.4474000036716461,0.13459999859333038,0.273499995470047,0.9089000225067139,0.2994000017642975,0.20280000567436218
ENST00000959774,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.23980000615119934,0.10769999772310257,0.2054000049829483,0.8791000247001648,0.07989999651908875,0.012199999764561653,0.2727999985218048,0.6111000180244446,0.4542999863624573,0.13130000233650208,0.17800000309944153,0.9731000065803528,0.3264000117778778,0.0997999981045723
ENST00000938923,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,Transmembrane,0.2345999926328659,0.1046999990940094,0.20029999315738678,0.8805000185966492,0.07980000227689743,0.011900000274181366,0.2533999979496002,0.593500018119812,0.44850000739097595,0.13570000231266022,0.2712000012397766,0.9153000116348267,0.31630000472068787,0.19370000064373016
