"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000085219.10","CD22-201","3274","847aa","ENSP00000085219.4"," Protein coding","CCDS12457","P20273-1","NM_001771.4","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P2, TSL:1, "
"ENST00000536635.6","CD22-204","3004","759aa","ENSP00000442279.1"," Protein coding","CCDS54248","P20273-3","-","GENCODE basic, TSL:1, "
"ENST00000341773.10","CD22-202","2755","670aa","ENSP00000339349.6"," Protein coding","CCDS54249","P20273-2","-","GENCODE basic, TSL:5, "
"ENST00000544992.6","CD22-205","2698","751aa","ENSP00000441237.1"," Protein coding","CCDS54247","P20273-4","-","GENCODE basic, APPRIS  ALT2, TSL:1, "
"ENST00000419549.6","CD22-203","2642","675aa","ENSP00000403822.2"," Protein coding","CCDS62634","P20273-5","-","GENCODE basic, TSL:1, "
"ENST00000594250.5","CD22-209","2107","670aa","ENSP00000469984.1"," Protein coding","CCDS54249","P20273-2","-","GENCODE basic, TSL:1, "
"ENST00000593867.5","CD22-207","831","225aa","ENSP00000471972.1"," Protein coding","","M0R1M2","-","TSL:3, CDS 3' incomplete, "
"ENST00000613136.1","CD22-234","609","153aa","ENSP00000482823.1"," Protein coding","","A0A087WZQ4","-","TSL:NA, CDS 5' incomplete, "
"ENST00000600131.5","CD22-224","603","144aa","ENSP00000469503.1"," Protein coding","","M0QY05","-","TSL:5, CDS 3' incomplete, "
"ENST00000597916.5","CD22-216","592","137aa","ENSP00000472762.1"," Protein coding","","M0R2R8","-","TSL:5, CDS 3' incomplete, "
"ENST00000599811.5","CD22-223","559","164aa","ENSP00000469523.1"," Protein coding","","M0QY14","-","TSL:4, CDS 3' incomplete, "
"ENST00000595780.5","CD22-213","558","133aa","ENSP00000472664.1"," Protein coding","","M0R2M0","-","TSL:4, CDS 3' incomplete, "
"ENST00000598537.5","CD22-219","554","106aa","ENSP00000469980.1"," Protein coding","","M0QYP4","-","TSL:3, CDS 3' incomplete, "
"ENST00000600424.5","CD22-225","542","158aa","ENSP00000471399.1"," Protein coding","","M0R0R6","-","TSL:4, CDS 3' incomplete, "
"ENST00000601769.5","CD22-231","3060","191aa","ENSP00000470193.1"," Nonsense mediated decay","","M0QZ01","-","TSL:2, "
"ENST00000594125.1","CD22-208","954","145aa","ENSP00000473221.1"," Nonsense mediated decay","","M0R3H1","-","TSL:3, CDS 5' incomplete, "
"ENST00000594349.1","CD22-210","740","148aa","ENSP00000470724.1"," Nonsense mediated decay","","M0QZR7","-","TSL:5, CDS 5' incomplete, "
"ENST00000599717.5","CD22-221","567","38aa","ENSP00000470681.1"," Nonsense mediated decay","","M0QZP5","-","TSL:3, "
"ENST00000595419.5","CD22-212","623","No protein","-"," Processed transcript","","-","-","TSL:5, "
"ENST00000598138.5","CD22-218","598","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000598815.5","CD22-220","589","No protein","-"," Processed transcript","","-","-","TSL:3, "
"ENST00000597433.1","CD22-215","579","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000598028.5","CD22-217","573","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000601414.5","CD22-229","563","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000601732.5","CD22-230","562","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000600905.5","CD22-227","559","No protein","-"," Processed transcript","","-","-","TSL:3, "
"ENST00000601329.5","CD22-228","556","No protein","-"," Processed transcript","","-","-","TSL:4, "
"ENST00000596492.5","CD22-214","1061","No protein","-"," Retained intron","","-","-","TSL:5, "
"ENST00000600655.1","CD22-226","999","No protein","-"," Retained intron","","-","-","TSL:3, "
"ENST00000594954.5","CD22-211","605","No protein","-"," Retained intron","","-","-","TSL:4, "
"ENST00000602224.5","CD22-233","582","No protein","-"," Retained intron","","-","-","TSL:3, "
"ENST00000599799.1","CD22-222","581","No protein","-"," Retained intron","","-","-","TSL:5, "
"ENST00000602123.1","CD22-232","579","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000593704.1","CD22-206","569","No protein","-"," Retained intron","","-","-","TSL:4, "
